Covered_Recipient_Type,Noncovered_Recipient_Entity_Name,Teaching_Hospital_CCN,Teaching_Hospital_ID,Teaching_Hospital_Name,Covered_Recipient_Profile_ID,Covered_Recipient_NPI,Covered_Recipient_First_Name,Covered_Recipient_Last_Name,Recipient_City,Recipient_State,Recipient_Zip_Code,Covered_Recipient_Primary_Type_1,Covered_Recipient_Specialty_1,Total_Amount_of_Payment_USDollars,Date_of_Payment,Record_ID,Program_Year,Payment_Publication_Date
Covered Recipient Physician,Not available,Not available,Not available,Not available,194746.0,1285619874.0,ZIAD,YOUNES,GERMANTOWN,TN,38138,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,33121.2,06/21/2021,819446025,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,310001.0,10178.0,Hackensack University Medical Center,Not available,Not available,Not available,Not available,HACKENSACK,NJ,07601,Not available,Not available,89270.0,07/26/2021,792664333,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,33302.0,11161.0,PHOENIX CHILDRENS HOSPITAL,Not available,Not available,Not available,Not available,PHOENIX,AZ,85016,Not available,Not available,1500.0,11/15/2021,835922089,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490052.0,10707.0,RIVERSIDE REGIONAL MEDICAL CENTER,Not available,Not available,Not available,Not available,Newport News,VA,23601,Not available,Not available,81.47,11/02/2021,837698481,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390028.0,10267.0,Upmc Mercy Hospital,Not available,Not available,Not available,Not available,Pittsburgh,PA,15219,Not available,Not available,55.54,05/26/2021,811451619,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490009.0,10745.0,University Of Virginia Medical Cente,Not available,Not available,Not available,Not available,Charlottesville,VA,22908,Not available,Not available,4420.0,11/29/2021,826575873,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,UT MD ANDERSON CANCER CENTER,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,174.88,05/07/2021,827890615,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230046.0,10547.0,Univ Of Mi Hospitals & Hlth Ctrs,Not available,Not available,Not available,Not available,ANN ARBOR,MI,48109,Not available,Not available,8247.92,04/19/2021,792671075,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230046.0,10547.0,Univ Of Mi Hospitals & Hlth Ctrs,Not available,Not available,Not available,Not available,ANN ARBOR,MI,48109,Not available,Not available,1015.87,01/14/2021,848926619,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230297.0,10146.0,Karmanos Cancer Hospital,Not available,Not available,Not available,Not available,Detroit,MI,48201,Not available,Not available,400.0,03/17/2021,838850785,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,10033.0,10929.0,University Of Alabama Hospital,Not available,Not available,Not available,Not available,BIRMINGHAM,AL,35249,Not available,Not available,378.0,06/23/2021,792671333,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230297.0,10146.0,Karmanos Cancer Hospital,Not available,Not available,Not available,Not available,DETROIT,MI,48201,Not available,Not available,30.0,03/01/2021,831139171,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,10033.0,10929.0,University Of Alabama Hospital,Not available,Not available,Not available,Not available,Birmingham,AL,35233,Not available,Not available,8710.0,08/06/2021,832893055,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,440039.0,10425.0,VANDERBILT UNIVERSITY MEDICAL CENTER,Not available,Not available,Not available,Not available,Nashville,TN,37232,Not available,Not available,2227.5,12/22/2021,793091225,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,160045.0,10592.0,St. Lukes Methodist Hospital,Not available,Not available,Not available,Not available,CEDAR RAPIDS,IA,52402,Not available,Not available,390.0,12/03/2021,844262897,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,460009.0,11165.0,U OF U HOSPITALS & CLINICS,Not available,Not available,Not available,Not available,Salt Lake City,UT,84132,Not available,Not available,10683.0,06/19/2021,832894239,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,286917.0,1316957350.0,SATISH,MODI,POUGHKEEPSIE,NY,12603,Medical Doctor,Allopathic & Osteopathic Physicians|Ophthalmology,248.4,12/15/2021,807675823,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,420078.0,11088.0,GHS GREENVILLE MEMORIAL HOSPITAL,Not available,Not available,Not available,Not available,Greenville,SC,29607,Not available,Not available,1063.0,07/15/2021,786497473,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50008.0,11217.0,Cpmc-R.K. Davies Medical Center,Not available,Not available,Not available,Not available,San Francisco,CA,94114,Not available,Not available,3500.0,04/30/2021,827582299,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,130006.0,11100.0,ST. LUKES REGIONAL MEDICAL CENTER,Not available,Not available,Not available,Not available,BOISE,ID,83712,Not available,Not available,15.03,05/25/2021,835926429,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,380009.0,11212.0,OHSU HOSPITAL AND CLINICS,Not available,Not available,Not available,Not available,Portland,OR,97239,Not available,Not available,200.0,03/04/2021,827887481,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,90004.0,10716.0,GEORGETOWN UNIVERSITY HOSPITAL,Not available,Not available,Not available,Not available,Washington,DC,20007,Not available,Not available,45755.28,08/16/2021,786499543,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100009.0,10836.0,University Of Miami Hospital,Not available,Not available,Not available,Not available,MIAMI,FL,33136,Not available,Not available,13734.9,04/21/2021,831101497,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230053.0,10500.0,Henry Ford Hospital,Not available,Not available,Not available,Not available,DETROIT,MI,48202,Not available,Not available,10000.0,04/28/2021,844946681,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,380009.0,11212.0,OHSU HOSPITAL AND CLINICS,Not available,Not available,Not available,Not available,Portland,OR,97239,Not available,Not available,2435.0,04/28/2021,827887737,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,153145.0,1386629699.0,RAKESH,PATEL,HOUSTON,TX,77095,Doctor of Osteopathy,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",192.84,01/29/2021,819446281,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490009.0,10745.0,University Of Virginia Medical Cente,Not available,Not available,Not available,Not available,CHARLOTTESVILLE,VA,22908,Not available,Not available,14805.0,09/07/2021,792665005,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,54009.0,11327.0,RESNICK NEUROPSYCHIATRIC HOSPITAL AT,Not available,Not available,Not available,Not available,LOS ANGELES,CA,90095,Not available,Not available,378.0,05/03/2021,835923323,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50077.0,11300.0,Scripps Mercy Hospital,Not available,Not available,Not available,Not available,San Diego,CA,92103,Not available,Not available,23.06,10/01/2021,811451903,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,410012.0,10006.0,THE MIRIAM HOSPITAL,Not available,Not available,Not available,Not available,PROVIDENCE,RI,02906,Not available,Not available,9000.0,06/24/2021,830982795,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,UT MD ANDERSON CANCER CENTER,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,152.87,05/07/2021,827890717,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230046.0,10547.0,Univ Of Mi Hospitals & Hlth Ctrs,Not available,Not available,Not available,Not available,ANN ARBOR,MI,48109,Not available,Not available,1573.15,03/25/2021,848926877,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220071.0,9988.0,Massachusetts General Hospital,Not available,Not available,Not available,Not available,Boston,MA,02114,Not available,Not available,2250.0,04/21/2021,838861403,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,54144.0,11286.0,Langley Porter Psychiatric Hospital,Not available,Not available,Not available,Not available,San Francisco,CA,94143,Not available,Not available,50605.0,10/04/2021,787587421,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,270051.0,10252.0,KALISPELL REGIONAL MEDICAL CENTER,Not available,Not available,Not available,Not available,Kalispell,MT,59901,Not available,Not available,6010.9,10/06/2021,792386313,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50075.0,11228.0,Kfh - Oakland,Not available,Not available,Not available,Not available,OAKLAND,CA,94611,Not available,Not available,8405.0,01/27/2021,792672105,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230046.0,10547.0,Univ Of Mi Hospitals & Hlth Ctrs,Not available,Not available,Not available,Not available,ANN ARBOR,MI,48109,Not available,Not available,700.0,09/22/2021,801006905,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390196.0,10211.0,American Oncologic Hospial,Not available,Not available,Not available,Not available,PHILADELPHIA,PA,19111,Not available,Not available,6204.0,09/27/2021,848927689,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330154.0,10065.0,Memorial Hospital For Cancer And All,Not available,Not available,Not available,Not available,NEW YORK,NY,10065,Not available,Not available,15000.0,05/12/2021,831308727,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,190036.0,10978.0,OCHSNER CLINIC FOUNDATION,Not available,Not available,Not available,Not available,New Orleans,LA,70121,Not available,Not available,28771.2,12/21/2021,832573395,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,UT MD ANDERSON CANCER CENTER,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,9276.37,12/23/2021,832574615,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,83300.0,10812.0,Alfred I Dupont Hosp For Children,Not available,Not available,Not available,Not available,Wilmington,DE,19803,Not available,Not available,2045.0,11/17/2021,849336075,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,9765.0,1205898681.0,WILLIAM,MAXWELL,FRESNO,CA,93720,Medical Doctor,Allopathic & Osteopathic Physicians|Ophthalmology,309.9,12/23/2021,807676337,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,460009.0,11165.0,U Of U Hospitals & Clinics,Not available,Not available,Not available,Not available,SALT LAKE CITY,UT,84132,Not available,Not available,500.0,06/08/2021,831080017,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220086.0,9982.0,Beth Israel Deaconess Medical Center,Not available,Not available,Not available,Not available,Boston,MA,02215,Not available,Not available,4228.56,12/31/2021,848755345,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,263302.0,10622.0,Childrens Mercy Hospital,Not available,Not available,Not available,Not available,Kansas City,MO,64108,Not available,Not available,83.46,01/26/2021,827025779,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390111.0,10224.0,Hospital Of The Univ Of Penna,Not available,Not available,Not available,Not available,Philadelphia,PA,19104,Not available,Not available,17355.02,07/22/2021,844225365,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,340061.0,10767.0,University Of North Carolina Hosp.,Not available,Not available,Not available,Not available,CHAPEL HILL,NC,27514,Not available,Not available,3.04,03/08/2021,831102257,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,53302.0,11301.0,Childrens Hospital Los Angeles,Not available,Not available,Not available,Not available,Los Angeles,CA,90027,Not available,Not available,4.5,04/19/2021,811033803,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390028.0,10267.0,Upmc Mercy Hospital,Not available,Not available,Not available,Not available,Pittsburgh,PA,15219,Not available,Not available,2.85,12/20/2021,811824597,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,380009.0,11212.0,OHSU HOSPITAL AND CLINICS,Not available,Not available,Not available,Not available,Portland,OR,97239,Not available,Not available,500.0,07/07/2021,827887995,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,260912.0,1750549606.0,SAMEER,LAPSIA,NORFOLK,VA,23507,Medical Doctor,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,7859.0,11/02/2021,819446539,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360137.0,10389.0,Uh Cleveland Medical Center,Not available,Not available,Not available,Not available,CLEVELAND,OH,44106,Not available,Not available,13311.32,02/24/2021,792665681,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140119.0,10441.0,RUSH UNIVERSITY MEDICAL CENTER,Not available,Not available,Not available,Not available,CHICAGO,IL,60612,Not available,Not available,750.0,05/10/2021,835924399,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,83300.0,10812.0,Alfred I Dupont Hosp For Children,Not available,Not available,Not available,Not available,Wilmington,DE,19899,Not available,Not available,4000.0,03/05/2021,831382149,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100007.0,10819.0,Adventhealth Orlando,Not available,Not available,Not available,Not available,Orlando,FL,32803,Not available,Not available,27165.0,03/29/2021,787574791,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,1050863.0,1154363315.0,WALTER,CHATHAM,BIRMINGHAM,AL,35233,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,350.55,01/11/2021,819446795,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,440039.0,10425.0,VANDERBILT UNIVERSITY MEDICAL CENTER,Not available,Not available,Not available,Not available,NASHVILLE,TN,37232,Not available,Not available,356.4,09/08/2021,838145657,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100007.0,10819.0,Adventhealth Orlando,Not available,Not available,Not available,Not available,ORLANDO,FL,32803,Not available,Not available,26000.0,12/16/2021,809684601,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,380009.0,11212.0,Ohsu Hospital And Clinics,Not available,Not available,Not available,Not available,Portland,OR,97239,Not available,Not available,2520.0,12/20/2021,838862171,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,30103.0,11162.0,Mayo Clinic Hospital,Not available,Not available,Not available,Not available,Phoenix,AZ,85054,Not available,Not available,8993.0,12/01/2021,787589009,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,Cleveland Clinic Hospital,Not available,Not available,Not available,Not available,CLEVELAND,OH,44195,Not available,Not available,2150.0,06/24/2021,809684871,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,Ut Md Anderson Cancer Center,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,55031.25,04/01/2021,826493621,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140208.0,10436.0,Advocate Christ Hospital,Not available,Not available,Not available,Not available,Oak Lawn,IL,60453,Not available,Not available,1248.0,11/09/2021,822029269,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,3953.0,1073703096.0,JESSICA,AILANI,WASHINGTON,DC,20007,Medical Doctor,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,3875.65,10/05/2021,830986247,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,363303.0,10368.0,Childrens Hospital Medical Center,Not available,Not available,Not available,Not available,AKRON,OH,44308,Not available,Not available,1614.75,05/06/2021,781383471,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,639274.0,1699971556.0,SANJIV,SHAH,CHICAGO,IL,60611,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,940.0,08/30/2021,832575781,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140135.0,10483.0,Decatur Memorial Hospital,Not available,Not available,Not available,Not available,DECATUR,IL,62526,Not available,Not available,1500.0,07/28/2021,851138661,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,828537.0,1346655099.0,BENJAMIN,HELLER,PHOENIX,AZ,85003,Medical Doctor,Allopathic & Osteopathic Physicians|Ophthalmology,324.15,12/16/2021,807676599,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50696.0,11289.0,KECK HOSPITAL OF USC,Not available,Not available,Not available,Not available,LOS ANGELES,CA,90033,Not available,Not available,1850.0,04/22/2021,849539977,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140150.0,10495.0,Board Of Trustees Of The University,Not available,Not available,Not available,Not available,CHICAGO,IL,60612,Not available,Not available,176.0,01/11/2021,831080777,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,30038.0,11158.0,Honorhealth Scottsdale Osborn Med Ct,Not available,Not available,Not available,Not available,Scottsdale,AZ,85251,Not available,Not available,249.0,11/10/2021,835068505,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450056.0,11002.0,ASCENSION SETON MEDICAL CENTER,Not available,Not available,Not available,Not available,AUSTIN,TX,78705,Not available,Not available,4404.61,11/05/2021,849614883,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390111.0,10224.0,Hospital Of The Univ Of Penna,Not available,Not available,Not available,Not available,PHILA,PA,19104,Not available,Not available,4403.0,06/03/2021,792657067,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,53302.0,11301.0,Childrens Hospital Los Angeles,Not available,Not available,Not available,Not available,Los Angeles,CA,90027,Not available,Not available,5.7,12/01/2021,811034215,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50262.0,11328.0,RONALD REAGAN UCLA,Not available,Not available,Not available,Not available,Los Angeles,CA,90095,Not available,Not available,18.9,03/04/2021,827888251,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,54144.0,11286.0,Langley Porter Psychiatric Hospital,Not available,Not available,Not available,Not available,SAN FRANCISCO,CA,94143,Not available,Not available,520.0,10/06/2021,792657325,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,53302.0,11301.0,Childrens Hospital Los Angeles,Not available,Not available,Not available,Not available,Los Angeles,CA,90027,Not available,Not available,1970.0,12/22/2021,811034615,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360137.0,10389.0,Uh Cleveland Medical Center,Not available,Not available,Not available,Not available,CLEVELAND,OH,44106,Not available,Not available,2953.0,12/08/2021,792665937,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50424.0,11298.0,SCRIPPS GREEN HOSPITAL,Not available,Not available,Not available,Not available,LA JOLLA,CA,92037,Not available,Not available,7644.0,02/19/2021,835925333,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50262.0,11328.0,Ronald Reagan Ucla,Not available,Not available,Not available,Not available,Los Angeles,CA,90095,Not available,Not available,1260.0,05/26/2021,854944667,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220162.0,9984.0,DANA-FARBER CANCER INSTITUTE,Not available,Not available,Not available,Not available,Boston,MA,02215,Not available,Not available,12907.2,10/07/2021,792382915,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100073.0,10821.0,HOLY CROSS HOSPITAL,Not available,Not available,Not available,Not available,BOCA RATON,FL,33432,Not available,Not available,391.65,01/20/2021,819447053,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,Cleveland Clinic Hospital,Not available,Not available,Not available,Not available,CLEVELAND,OH,44195,Not available,Not available,39480.0,10/12/2021,792666193,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,190036.0,10978.0,Ochsner Clinic Foundation,Not available,Not available,Not available,Not available,NEW ORLEANS,LA,70121,Not available,Not available,3000.0,02/18/2021,809685127,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,464009.0,11166.0,U OF UTAH NEUROPSYCHIATRIC INSTITUTE,Not available,Not available,Not available,Not available,Salt Lake City,UT,84132,Not available,Not available,13000.0,08/17/2021,789021235,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100168.0,10823.0,Boca Raton Regional Hospital,Not available,Not available,Not available,Not available,Boca Raton,FL,33486,Not available,Not available,1779.9,05/12/2021,838852621,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330024.0,10066.0,Mount Sinai Hospital,Not available,Not available,Not available,Not available,New York,NY,10029,Not available,Not available,42554.0,01/26/2021,787590065,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50599.0,11287.0,Uc Davis Medical Center,Not available,Not available,Not available,Not available,SACRAMENTO,CA,95817,Not available,Not available,98346.55,02/26/2021,809685391,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,464009.0,11166.0,U OF UTAH NEUROPSYCHIATRIC INSTITUTE,Not available,Not available,Not available,Not available,Salt Lake City,UT,84132,Not available,Not available,10885.1,05/13/2021,789021275,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,UT MD ANDERSON CANCER CENTER,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,185985.0,12/22/2021,832576997,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450018.0,11030.0,THE UNIVERSITY OF TEXAS MEDICAL BR.,Not available,Not available,Not available,Not available,Galveston,TX,77555,Not available,Not available,10428.6,08/03/2021,832898939,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,310015.0,10713.0,Morristown Medical Center,Not available,Not available,Not available,Not available,Morristown,NJ,07960,Not available,Not available,4746.97,06/25/2021,826494383,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,250001.0,10938.0,University Of Mississippi Medical,Not available,Not available,Not available,Not available,JACKSON,MS,39216,Not available,Not available,13200.09,08/04/2021,781384055,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330159.0,10128.0,UPSTATE UNIV HOSP AT COMM GENERAL,Not available,Not available,Not available,Not available,Syracuse,NY,13215,Not available,Not available,52.87,11/09/2021,832578205,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,110064.0,10795.0,Piedmont Columbus Regional Midtown,Not available,Not available,Not available,Not available,COLUMBUS,GA,31901,Not available,Not available,1634.8,04/22/2021,831082295,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220110.0,9985.0,Brigham And Womens Hospital,Not available,Not available,Not available,Not available,Boston,MA,02115,Not available,Not available,3.8,09/28/2021,811844815,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50262.0,11328.0,RONALD REAGAN UCLA,Not available,Not available,Not available,Not available,Los Angeles,CA,90095,Not available,Not available,18.9,03/04/2021,827888507,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,357686.0,1881661270.0,ANTERPREET,DUA,AUGUSTA,GA,30905,Medical Doctor,Allopathic & Osteopathic Physicians|Anesthesiology,350.0,04/28/2021,832288075,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,503300.0,11178.0,Seattle Childrens Hospital,Not available,Not available,Not available,Not available,Seattle,WA,98105,Not available,Not available,19.64,07/26/2021,832612109,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,460009.0,11165.0,U OF U HOSPITALS & CLINICS,Not available,Not available,Not available,Not available,Salt Lake City,UT,84132,Not available,Not available,515.0,11/09/2021,827888763,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390256.0,10282.0,Milton S. Hershey Medical Center,Not available,Not available,Not available,Not available,Hershey,PA,17033,Not available,Not available,2000.0,06/24/2021,844226623,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230297.0,10146.0,Karmanos Cancer Hospital,Not available,Not available,Not available,Not available,Detroit,MI,48201,Not available,Not available,400.0,06/17/2021,797817037,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,240057.0,10463.0,Abbott Northwestern Hospital,Not available,Not available,Not available,Not available,MINNEAPOLIS,MN,55404,Not available,Not available,243.25,10/06/2021,792658097,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330285.0,10135.0,STRONG MEMORIAL HOSPITAL,Not available,Not available,Not available,Not available,ROCHESTER,NY,14642,Not available,Not available,19063.3,10/11/2021,835926537,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50696.0,11289.0,Keck Hospital Of Usc,Not available,Not available,Not available,Not available,LOS ANGELES,CA,90033,Not available,Not available,325.0,09/14/2021,801003531,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,UT MD ANDERSON CANCER CENTER,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,226.96,05/07/2021,827891023,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220110.0,9985.0,Brigham And Womens Hospital,Not available,Not available,Not available,Not available,Boston,MA,02115,Not available,Not available,190681.35,10/25/2021,787576077,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,CLEVELAND CLINIC HOSPITAL,Not available,Not available,Not available,Not available,CLEVELAND,OH,44195,Not available,Not available,264.0,03/31/2021,819447309,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360239.0,10330.0,SYCAMORE HOSPITAL,Not available,Not available,Not available,Not available,MIAMISBURG,OH,45342,Not available,Not available,12615.0,03/03/2021,835927479,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,30087.0,11159.0,HONORHEALTH SCOTTSDALE SHEA MED CTR,Not available,Not available,Not available,Not available,SCOTTSDALE,AZ,85258,Not available,Not available,58863.67,05/28/2021,854605293,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50146.0,11296.0,City Of Hope National Medical Ctr,Not available,Not available,Not available,Not available,DUARTE,CA,91010,Not available,Not available,950.0,05/28/2021,831142741,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330285.0,10135.0,STRONG MEMORIAL HOSPITAL,Not available,Not available,Not available,Not available,Rochester,NY,14623,Not available,Not available,17450.0,08/14/2021,832678689,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100271.0,10837.0,Moffitt Cancer Center,Not available,Not available,Not available,Not available,Tampa,FL,33612,Not available,Not available,408.0,06/04/2021,838852883,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,110010.0,10785.0,Emory University Hospital,Not available,Not available,Not available,Not available,ATLANTA,GA,30329,Not available,Not available,1800.0,04/05/2021,809685725,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,Ut Md Anderson Cancer Center,Not available,Not available,Not available,Not available,HOUSTON,TX,77030,Not available,Not available,89270.0,05/11/2021,792673395,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,961512.0,1003961772.0,MEGAN,COYLEWRIGHT,Lebanon,NH,03756,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,425.0,12/10/2021,801008187,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,545671.0,1417011529.0,ALICIA,MORGANS,CHICAGO,IL,60611,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,241.88,12/31/2021,831024893,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490063.0,10733.0,Inova Fairfax Hospital,Not available,Not available,Not available,Not available,Falls Church,VA,22042,Not available,Not available,64.9,04/12/2021,811822613,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,370028.0,10993.0,Integris Baptist Medical Center,Not available,Not available,Not available,Not available,Spencer,OK,73084,Not available,Not available,595.0,08/18/2021,827577161,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490063.0,10733.0,Inova Fairfax Hospital,Not available,Not available,Not available,Not available,Falls Church,VA,22042,Not available,Not available,15.9,05/28/2021,811822699,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490009.0,10745.0,University Of Virginia Medical Cente,Not available,Not available,Not available,Not available,CHARLOTTESVILLE,VA,22908,Not available,Not available,1007.0,04/16/2021,800998921,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,310001.0,10178.0,Hackensack University Medical Center,Not available,Not available,Not available,Not available,Hackensack,NJ,07601,Not available,Not available,16884.45,01/06/2021,832515451,2021,01/20/2023
